idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
180401,37.3,-40,60.9,16,42.5,50,35.7,39.4,1,22.7634,67.3914,13,2.862562e+01,-84.8134,6.20791
377445,41.3,-37,61.9,17,42.5,48,38.7,41.4,1,23.0177,82.0804,14,3.501528e+01,-87.3826,6.20945
195413,39.3,-38,60.9,16,41.5,50,36.7,39.4,1,22.8059,72.3557,11,2.630341e+01,-86.4009,6.2099
318526,37.3,-40,60.9,16,43.5,49,34.7,41.4,1,22.7694,67.4267,12,2.804923e+01,-84.9502,6.2102
124257,38.3,-39,59.9,17,42.5,52,36.7,38.4,1,24.0829,74.0941,8,2.692815e+01,-84.6442,6.21073
355565,41.3,-38,61.9,17,42.5,51,36.7,41.4,1,23.5473,78.6979,11,2.793749e+01,-87.4474,6.21116
139825,41.3,-36,61.9,16,42.5,52,37.7,38.4,1,22.6108,78.1639,10,2.805699e+01,-87.7642,6.21127
355579,40.3,-40,62.9,17,42.5,51,36.7,41.4,1,23.1559,74.2078,12,3.056853e+01,-86.9923,6.21278
351835,41.3,-39,62.9,17,41.5,50,36.7,41.4,1,23.2245,76.785,11,2.758943e+01,-87.617,6.213
258544,40.3,-37,60.9,16,42.5,50,35.7,40.4,1,22.9493,75.0434,11,2.760230e+01,-86.9682,6.214
149148,39.3,-36,59.9,16,42.5,50,38.7,38.4,1,23.145,77.1394,9,2.632112e+01,-86.142,6.21484
191683,39.3,-39,61.9,16,40.5,49,36.7,39.4,1,22.5216,70.5952,12,3.016459e+01,-86.5388,6.21537
287419,40.3,-37,60.9,17,43.5,49,37.7,40.4,1,24.4129,80.944,15,3.541303e+01,-86.191,6.21576
202314,40.3,-38,61.9,16,42.5,52,36.7,39.4,1,22.4924,73.1627,11,2.687382e+01,-87.2727,6.21635
127766,37.3,-37,59.9,15,43.5,48,37.7,38.4,1,22.7689,69.1739,15,3.446128e+01,-85.1346,6.21754
299901,37.3,-40,60.9,17,43.5,48,38.7,40.4,1,24.6372,73.0607,16,3.015903e+01,-84.3661,6.21883
306169,40.3,-37,60.9,17,43.5,50,38.7,40.4,1,23.9209,81.0428,13,3.087117e+01,-86.4623,6.22003
299174,40.3,-36,60.9,16,42.5,48,38.7,40.4,1,22.6452,78.4466,12,3.017854e+01,-87.1559,6.22152
146516,37.3,-37,59.9,15,43.5,49,38.7,38.4,1,22.4595,69.3655,14,3.347480e+01,-85.3098,6.22376
340553,39.3,-40,61.9,17,43.5,51,35.7,41.4,1,23.5171,73.3091,13,3.045627e+01,-85.9401,6.22634
258558,39.3,-39,61.9,16,42.5,50,35.7,40.4,1,22.7551,70.6471,12,3.019196e+01,-86.4838,6.22733
146131,37.3,-39,59.9,17,42.5,49,38.7,38.4,1,25.0372,74.4059,18,3.464775e+01,-84.0099,6.22815
113526,37.3,-40,60.9,16,40.5,49,36.7,38.4,1,22.8566,67.3438,13,2.867108e+01,-84.8288,6.22835
236517,38.3,-37,59.9,15,42.5,48,34.7,40.4,1,22.3726,68.8109,11,2.549319e+01,-85.9909,6.22932
202328,39.3,-40,62.9,16,42.5,52,36.7,39.4,1,22.5478,68.9273,12,2.940242e+01,-86.7289,6.23035
117256,37.3,-39,59.9,16,41.5,50,36.7,38.4,1,23.1613,68.9893,11,2.502925e+01,-84.7021,6.23243
153032,38.3,-39,60.9,17,43.5,51,38.7,38.4,1,24.6779,75.1998,18,3.561983e+01,-84.8652,6.23944
340539,40.3,-38,60.9,17,43.5,51,35.7,41.4,1,24.0154,77.7534,8,2.790514e+01,-86.3587,6.23972
156163,39.3,-38,60.9,17,43.5,52,38.7,38.4,1,24.2847,77.7998,13,3.439436e+01,-85.5934,6.24047
153012,38.3,-38,59.9,17,43.5,51,38.7,38.4,1,24.9831,77.0599,15,3.343435e+01,-84.721,6.24153
314768,39.3,-37,59.9,16,42.5,48,34.7,41.4,1,23.3112,74.2144,11,2.710796e+01,-86.0668,6.24169
352308,39.3,-39,61.9,16,42.5,50,36.7,41.4,1,22.8329,70.7344,10,2.506679e+01,-86.8257,6.24336
224787,38.3,-38,60.9,16,43.5,49,38.7,39.4,1,23,72.863,16,3.197345e+01,-85.6162,6.24339
227898,39.3,-36,59.9,16,43.5,50,38.7,39.4,1,23.5402,77.4094,11,2.594682e+01,-86.2135,6.24561
146037,38.3,-38,60.9,16,42.5,49,38.7,38.4,1,23.3581,72.6237,16,3.687738e+01,-85.5285,6.24612
141768,39.3,-37,59.9,17,40.5,48,38.7,38.4,1,24.6642,79.6755,10,2.713427e+01,-85.3683,6.24702
139277,38.3,-40,60.9,17,41.5,52,37.7,38.4,1,23.8247,72.346,10,2.586713e+01,-85.0655,6.24727
116669,40.3,-37,60.9,16,40.5,50,36.7,38.4,1,22.7041,74.8665,8,2.802190e+01,-86.9045,6.24779
149168,39.3,-37,60.9,16,42.5,50,38.7,38.4,1,23.0237,75.2114,10,2.977596e+01,-86.293,6.24818
362419,40.3,-37,60.9,17,43.5,48,37.7,41.4,1,24.1884,81.1278,15,3.469390e+01,-86.3455,6.24837
221017,38.3,-37,59.9,16,42.5,48,38.7,39.4,1,23.6282,74.6623,14,3.205350e+01,-85.4955,6.2498
209148,39.3,-36,59.9,16,43.5,49,37.7,39.4,1,23.8576,77.3238,13,3.033135e+01,-85.9987,6.24985
299288,39.3,-38,60.9,17,42.5,48,38.7,40.4,1,24.1396,78.2282,17,3.603059e+01,-85.7607,6.25059
74761,37.3,-38,59.9,16,43.5,51,38.7,37.4,1,23.9802,71.6744,16,3.677898e+01,-84.6057,6.25089
221516,37.3,-37,59.9,15,43.5,48,38.7,39.4,1,22.4456,69.6126,14,3.253386e+01,-85.3787,6.25282
146151,37.3,-40,60.9,17,42.5,49,38.7,38.4,1,25.1145,72.6095,17,3.641631e+01,-84.1176,6.2532
291855,41.3,-40,63.9,17,40.5,51,37.7,40.4,1,22.7998,74.8331,12,3.145227e+01,-87.8956,6.25328
135433,39.3,-39,61.9,16,40.5,51,37.7,38.4,1,22.4542,70.5036,11,2.581034e+01,-86.6438,6.25342
221131,37.3,-39,59.9,17,42.5,48,38.7,39.4,1,24.8802,74.5534,17,3.340068e+01,-84.1194,6.25403
67766,37.3,-37,59.9,15,42.5,49,38.7,37.4,1,22.8279,69.0278,14,3.627674e+01,-85.2322,6.25592
98392,38.3,-37,59.9,15,41.5,49,35.7,38.4,1,22.4044,68.7297,11,2.582823e+01,-85.8904,6.25707
180387,38.3,-38,59.9,16,42.5,50,35.7,39.4,1,23.3186,71.5367,10,2.623504e+01,-85.3179,6.25763
284148,39.3,-36,59.9,16,43.5,48,37.7,40.4,1,23.6851,77.5167,13,2.986952e+01,-86.124,6.25815
206703,39.3,-40,62.9,16,39.5,49,37.7,39.4,1,22.3474,68.8764,12,2.908999e+01,-86.8591,6.2602
284262,38.3,-38,59.9,17,43.5,48,37.7,40.4,1,24.8882,77.3084,17,3.590014e+01,-84.7553,6.26127
63517,38.3,-37,59.9,16,40.5,48,38.7,37.4,1,23.6564,74.1618,11,2.977546e+01,-85.3128,6.26472
71536,37.3,-38,60.9,15,43.5,50,38.7,37.4,1,22.5992,67.4903,14,3.301184e+01,-85.303,6.26539
120427,38.3,-40,61.9,16,41.5,51,36.7,38.4,1,22.727,68.1114,13,2.934448e+01,-85.7044,6.26788
97251,37.3,-40,59.9,16,39.5,49,35.7,38.4,1,22.6681,66.9837,9,2.570108e+01,-84.6289,6.26846
210433,39.3,-39,61.9,16,40.5,50,37.7,39.4,1,22.7372,70.5721,11,2.546783e+01,-86.7302,6.26922
309320,41.3,-37,61.9,17,43.5,51,38.7,40.4,1,23.5096,81.7989,12,3.164490e+01,-87.3138,6.26934
132376,37.3,-40,59.9,17,40.5,50,37.7,38.4,1,24.2044,71.5166,9,2.530566e+01,-84.1559,6.27018
