score,ok,streak,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
59.57149515107601,True,36.82596615113822,22.74552899993779,16.30118025553042,49.78475620281337,40.82053428553282,55.9777011640179,41.75336631590687,39.908148349587435,62.68988386229427,38.75069958602879,40.52625237252584,48.618022822600615,64.48918301704451,-38.793874350658626,-9.152119310574726
59.18149380841305,True,18.863987704583764,40.31750610382929,16.044773124859997,49.17442302633163,42.05793494458303,56.25830836252006,41.154276668422,37.652165375036176,62.35791895490024,36.73395016281038,39.0135739215918,49.86131136052013,65.73326568021385,-39.84909872610025,-9.002342995087531
58.92929982013172,True,23.897537148600694,35.03176267153103,15.943129722418442,51.91999569129439,42.13713139650481,56.79125678031955,40.38637950966088,40.09724576918021,60.547180470832544,35.05783256615232,39.00224362570289,47.85375138523739,65.90230485838728,-37.21177036510216,-6.972840265868521
58.83358440442134,True,41.37464887483558,17.45893552958576,16.650767376561916,47.823836166276195,43.02338899182364,56.743043140537836,38.319246700845255,40.58128891915095,63.09861186635466,37.75191162382253,37.84386617490515,48.962363435785555,66.1765338015817,-38.537715424107525,-9.098930387253384
58.62018812163089,True,16.116893539039083,42.503294582591806,16.183890654812004,51.699020235864566,42.87812513595896,56.28736951372649,39.229828861078545,40.29701720733022,62.568225809421826,35.21638621608291,38.19793689120752,47.922996029024894,65.1036149023021,-38.33606255224184,-5.824931058474627
55.95721843485475,True,29.649792531591473,26.30742590326328,15.351695587907242,48.90252336445596,42.3430158379752,56.33108252370855,39.263926470761035,37.856939863707105,60.726478624747095,35.027770883007065,37.63743133455736,48.40326191581132,64.82434007516079,-37.84492581580945,-8.505385536581272
55.61560047867343,True,15.781079598610361,39.83452088006307,15.229147032797092,48.536371004236315,40.47143406435834,55.11334693224021,40.18682340619178,40.98890441804489,63.28853354367845,35.069855986107456,40.298338849228806,47.76192647372295,64.77384635141993,-37.305312317461684,-7.388311820043697
53.846381868404336,True,13.824986813317857,40.02139505508648,14.388815061233796,49.71351205293898,40.98228350487223,55.82384315870831,39.464924699445135,40.69830250799831,63.18932367236023,34.622155482576,41.243150268858315,49.542340424405786,67.51482924400983,-37.170765425175695,-8.058051419969292
52.56205611800975,True,13.050661797676447,39.5113943203333,14.164717448936518,49.592159565818235,40.71821659128896,57.110484030423,39.94538865585585,38.989848729801764,62.35253711697557,34.918186667262106,39.46787860106455,47.56895847510037,67.01957401770656,-38.19320764868138,-6.909412834028668
51.85780674633386,True,13.18502273029732,38.67278401603654,13.743750392566103,48.90909395462616,40.57678053155658,56.1607837688451,41.00842828179014,38.23124199182382,60.50273477478995,36.174318212782985,38.7676514154745,47.74630674081222,67.39784940774429,-36.008146215337604,-7.945262131186283
50.18427028307858,False,20.66738968590675,29.516880597171834,15.550645747104625,51.063254737188664,41.58519925131193,56.30699374792712,39.19838978767015,37.60993341545894,61.042912603452606,35.786860428328744,38.67883827367505,49.160608890073824,64.25349624606463,-39.074954081087256,-7.024200750803791
49.16225835423906,False,16.82048908316098,32.34176927107808,14.250615923578536,50.208498390132256,39.551860950698554,54.805364513489224,40.5822467824474,40.42369957150354,63.380472369285336,38.01993392782058,41.045945508294956,49.81851627557115,66.2905295422,-36.9795691791658,-7.613539453195035
48.74394377837065,False,18.950094767828542,29.793849010542104,13.161752358476562,49.366979389586206,41.35409950245738,54.69692084931167,40.84494614343749,37.92027880342804,61.881289015033204,37.218238325334354,39.49871113550574,48.1628120979136,65.4494220757241,-36.37116915579007,-7.889554539311133
48.50366443994502,True,10.831743922674782,37.67192051727024,13.206479539165493,52.46145931755761,42.73558311871827,56.79726802192026,39.247262617491494,37.630040667260324,61.922384437229105,38.10578102421054,38.51139518773707,47.53015505122536,65.32388772592596,-36.5685664636804,-9.743187959747637
47.73933488736001,True,9.638321760873467,38.10101312648654,14.067300759810172,50.56384719431923,39.94620869438351,55.53906100267642,39.91489482531683,41.11526371008432,63.40341176151277,35.753556203004365,39.40234445220119,47.714607522120524,67.35051135737929,-36.51792572065293,-8.606220834205468
43.37541148648711,True,9.237981615972778,34.13742987051433,14.864220449746647,50.12605020763686,41.64369819636009,57.65853888900091,38.93054490244142,38.53323087285001,60.96003170765883,35.17965422542158,38.030461508262064,49.24421937180206,67.0055467517586,-37.212488067051694,-9.638680767565347
42.33109376057013,False,32.27653349517345,10.054560265396674,15.771943261555863,50.131766069366236,40.51168428899885,56.04046390900319,39.915704494773,41.05156147560818,62.463865145239225,38.472296895087666,37.60745119016945,50.755037317365385,65.43019268644875,-36.01957409361375,-8.703857614942859
41.72569277932124,False,8.769524412440125,32.956168366881116,16.648496643696042,49.369308070727385,40.91714795457925,56.88795913659496,40.98369824530917,39.87323639999784,62.67325324011928,37.140306320315005,38.16905667654685,47.986076542109444,65.93234660322962,-39.10053184802873,-5.908357489637724
